genotype	site	year	block	row	col	curated_name	value_curated	corrected_units	tree_id	coppice_year	coppice_number
BESC-265	cla	2012	3	71	34	diameter_at_breast_height	6.4	cm	cla_3_71_34	0	0
GW-11026	cla	2012	2	47	9	diameter_at_breast_height	8.200000000000001	cm	cla_2_47_9	0	0
BESC-36	cla	2012	2	42	9	diameter_at_breast_height	7.300000000000001	cm	cla_2_42_9	0	0
BESC-102	cla	2012	2	61	21	diameter_at_breast_height	8.9	cm	cla_2_61_21	0	0
GW-9854	cla	2012	2	55	27	diameter_at_breast_height	6.5	cm	cla_2_55_27	0	0
BESC-841	cla	2012	3	83	30	diameter_at_breast_height	6.300000000000001	cm	cla_3_83_30	0	0
BESC-319	cla	2012	3	84	20	diameter_at_breast_height	8.1	cm	cla_3_84_20	0	0
GW-11026	cla	2012	1	22	26	diameter_at_breast_height	8.4	cm	cla_1_22_26	0	0
BESC-351	cla	2012	3	84	27	diameter_at_breast_height	6.6000000000000005	cm	cla_3_84_27	0	0
BESC-192	cla	2012	1	21	31	diameter_at_breast_height	7.2	cm	cla_1_21_31	0	0
BESC-388	cla	2012	2	50	4	diameter_at_breast_height	7.9	cm	cla_2_50_4	0	0
BESC-133	cla	2012	2	62	7	diameter_at_breast_height	9.3	cm	cla_2_62_7	0	0
BESC-2	cla	2012	2	52	12	diameter_at_breast_height	6.300000000000001	cm	cla_2_52_12	0	0
SLMC-28-2	cla	2012	2	52	25	diameter_at_breast_height	7.6000000000000005	cm	cla_2_52_25	0	0
BESC-133	cla	2012	1	28	16	diameter_at_breast_height	7	cm	cla_1_28_16	0	0
BESC-833	cla	2012	3	77	6	diameter_at_breast_height	8.700000000000001	cm	cla_3_77_6	0	0
BESC-841	cla	2012	2	43	26	diameter_at_breast_height	7.5	cm	cla_2_43_26	0	0
BESC-145	cla	2012	3	89	19	diameter_at_breast_height	8.1	cm	cla_3_89_19	0	0
BESC-897	cla	2012	1	29	17	diameter_at_breast_height	8.1	cm	cla_1_29_17	0	0
GW-9854	cla	2012	3	91	23	diameter_at_breast_height	8.6	cm	cla_3_91_23	0	0
BESC-119	cla	2012	3	92	35	diameter_at_breast_height	8.9	cm	cla_3_92_35	0	0
BESC-351	cla	2012	1	27	10	diameter_at_breast_height	8.9	cm	cla_1_27_10	0	0
BESC-192	cla	2012	2	67	4	diameter_at_breast_height	9.8	cm	cla_2_67_4	0	0
GW-9768	cla	2012	2	44	3	diameter_at_breast_height	7.2	cm	cla_2_44_3	0	0
BESC-119	cla	2012	2	50	15	diameter_at_breast_height	7.4	cm	cla_2_50_15	0	0
SLMC-28-2	cla	2012	1	27	8	diameter_at_breast_height	7.5	cm	cla_1_27_8	0	0
BESC-265	cla	2012	2	61	22	diameter_at_breast_height	9.5	cm	cla_2_61_22	0	0
BESC-351	cla	2012	2	54	28	diameter_at_breast_height	7.5	cm	cla_2_54_28	0	0
GW-9776	cla	2012	1	27	27	diameter_at_breast_height	8.4	cm	cla_1_27_27	0	0
GW-9776	cla	2012	3	88	28	diameter_at_breast_height	8.6	cm	cla_3_88_28	0	0
BESC-13	cla	2012	2	39	29	diameter_at_breast_height	8.8	cm	cla_2_39_29	0	0
BESC-144	cla	2012	2	51	29	diameter_at_breast_height	12.8	cm	cla_2_51_29	0	0
BESC-876	cla	2012	2	53	30	diameter_at_breast_height	10.700000000000001	cm	cla_2_53_30	0	0
BESC-319	cla	2012	2	50	22	diameter_at_breast_height	9.8	cm	cla_2_50_22	0	0
BESC-145	cla	2012	2	65	33	diameter_at_breast_height	10.8	cm	cla_2_65_33	0	0
BESC-833	cla	2012	2	42	16	diameter_at_breast_height	11	cm	cla_2_42_16	0	0
GW-9776	cla	2012	2	50	9	diameter_at_breast_height	10	cm	cla_2_50_9	0	0
GW-9768	cla	2012	1	32	10	diameter_at_breast_height	9.4	cm	cla_1_32_10	0	0
BESC-265	cla	2012	1	35	9	diameter_at_breast_height	11.9	cm	cla_1_35_9	0	0
BESC-897	cla	2012	2	40	15	diameter_at_breast_height	9.9	cm	cla_2_40_15	0	0
BESC-131	cla	2012	2	57	31	diameter_at_breast_height	9.5	cm	cla_2_57_31	0	0
BESC-35	cla	2012	2	36	14	diameter_at_breast_height	9.200000000000001	cm	cla_2_36_14	0	0
BESC-131	cla	2014	1	6	20	diameter_at_breast_height	1.3	cm	cla_1_6_20	0	1
BESC-119	cla	2014	1	9	4	diameter_at_breast_height	2.2	cm	cla_1_9_4	0	1
BESC-35	cla	2014	1	12	22	diameter_at_breast_height	5.5	cm	cla_1_12_22	0	1
BESC-833	cla	2014	1	12	19	diameter_at_breast_height	5.4	cm	cla_1_12_19	0	1
BESC-319	cla	2014	1	12	17	diameter_at_breast_height	5.4	cm	cla_1_12_17	0	1
BESC-876	cla	2014	1	12	16	diameter_at_breast_height	5.4	cm	cla_1_12_16	0	1
BESC-145	cla	2014	1	12	6	diameter_at_breast_height	6.5	cm	cla_1_12_6	0	1
BESC-36	cla	2014	1	13	30	diameter_at_breast_height	0.7000000000000001	cm	cla_1_13_30	0	1
BESC-144	cla	2014	1	14	27	diameter_at_breast_height	1.5	cm	cla_1_14_27	0	1
BESC-102	cla	2014	1	18	8	diameter_at_breast_height	4.5	cm	cla_1_18_8	0	1
BESC-2	cla	2014	1	19	12	diameter_at_breast_height	6.4	cm	cla_1_19_12	0	1
BESC-192	cla	2014	1	21	31	diameter_at_breast_height	16	cm	cla_1_21_31	0	0
GW-11026	cla	2014	1	22	26	diameter_at_breast_height	13.9	cm	cla_1_22_26	0	0
BESC-388	cla	2014	1	25	34	diameter_at_breast_height	11.4	cm	cla_1_25_34	0	0
SLMC-28-2	cla	2014	1	27	8	diameter_at_breast_height	12.9	cm	cla_1_27_8	0	0
BESC-351	cla	2014	1	27	10	diameter_at_breast_height	16.400000000000002	cm	cla_1_27_10	0	0
GW-9776	cla	2014	1	27	27	diameter_at_breast_height	15.5	cm	cla_1_27_27	0	0
BESC-133	cla	2014	1	28	16	diameter_at_breast_height	15.600000000000001	cm	cla_1_28_16	0	0
BESC-897	cla	2014	1	29	17	diameter_at_breast_height	16.2	cm	cla_1_29_17	0	0
GW-9768	cla	2014	1	32	10	diameter_at_breast_height	15.600000000000001	cm	cla_1_32_10	0	0
BESC-841	cla	2014	1	34	24	diameter_at_breast_height	12.200000000000001	cm	cla_1_34_24	0	0
BESC-265	cla	2014	1	35	9	diameter_at_breast_height	16.900000000000002	cm	cla_1_35_9	0	0
BESC-13	cla	2014	1	35	33	diameter_at_breast_height	8	cm	cla_1_35_33	0	0
GW-9854	cla	2014	1	35	34	diameter_at_breast_height	8.9	cm	cla_1_35_34	0	0
BESC-35	cla	2014	2	36	14	diameter_at_breast_height	14.9	cm	cla_2_36_14	0	0
BESC-13	cla	2014	2	39	29	diameter_at_breast_height	15.600000000000001	cm	cla_2_39_29	0	0
BESC-897	cla	2014	2	40	15	diameter_at_breast_height	16.2	cm	cla_2_40_15	0	0
BESC-833	cla	2014	2	42	16	diameter_at_breast_height	17.8	cm	cla_2_42_16	0	0
BESC-36	cla	2014	2	42	9	diameter_at_breast_height	12.4	cm	cla_2_42_9	0	0
BESC-841	cla	2014	2	43	26	diameter_at_breast_height	13.9	cm	cla_2_43_26	0	0
GW-9768	cla	2014	2	44	3	diameter_at_breast_height	12.4	cm	cla_2_44_3	0	0
GW-11026	cla	2014	2	47	9	diameter_at_breast_height	13	cm	cla_2_47_9	0	0
BESC-319	cla	2014	2	50	22	diameter_at_breast_height	17.8	cm	cla_2_50_22	0	0
BESC-119	cla	2014	2	50	15	diameter_at_breast_height	12.9	cm	cla_2_50_15	0	0
GW-9776	cla	2014	2	50	9	diameter_at_breast_height	17.6	cm	cla_2_50_9	0	0
BESC-388	cla	2014	2	50	4	diameter_at_breast_height	14.200000000000001	cm	cla_2_50_4	0	0
BESC-144	cla	2014	2	51	29	diameter_at_breast_height	22.5	cm	cla_2_51_29	0	0
SLMC-28-2	cla	2014	2	52	25	diameter_at_breast_height	12	cm	cla_2_52_25	0	0
BESC-2	cla	2014	2	52	12	diameter_at_breast_height	12	cm	cla_2_52_12	0	0
BESC-876	cla	2014	2	53	30	diameter_at_breast_height	19.8	cm	cla_2_53_30	0	0
BESC-351	cla	2014	2	54	28	diameter_at_breast_height	13.600000000000001	cm	cla_2_54_28	0	0
GW-9854	cla	2014	2	55	27	diameter_at_breast_height	10.600000000000001	cm	cla_2_55_27	0	0
BESC-131	cla	2014	2	57	31	diameter_at_breast_height	15.9	cm	cla_2_57_31	0	0
BESC-102	cla	2014	2	61	21	diameter_at_breast_height	14.200000000000001	cm	cla_2_61_21	0	0
BESC-265	cla	2014	2	61	22	diameter_at_breast_height	16.5	cm	cla_2_61_22	0	0
BESC-133	cla	2014	2	62	7	diameter_at_breast_height	15.100000000000001	cm	cla_2_62_7	0	0
BESC-145	cla	2014	2	65	33	diameter_at_breast_height	17.8	cm	cla_2_65_33	0	0
BESC-192	cla	2014	2	67	4	diameter_at_breast_height	16.1	cm	cla_2_67_4	0	0
BESC-265	cla	2014	3	71	34	diameter_at_breast_height	13.600000000000001	cm	cla_3_71_34	0	0
BESC-833	cla	2014	3	77	6	diameter_at_breast_height	15.8	cm	cla_3_77_6	0	0
GW-11026	cla	2014	3	78	17	diameter_at_breast_height	7.300000000000001	cm	cla_3_78_17	0	0
BESC-897	cla	2014	3	80	15	diameter_at_breast_height	6.800000000000001	cm	cla_3_80_15	0	0
BESC-841	cla	2014	3	83	30	diameter_at_breast_height	13.5	cm	cla_3_83_30	0	0
BESC-351	cla	2014	3	84	27	diameter_at_breast_height	14.600000000000001	cm	cla_3_84_27	0	0
BESC-319	cla	2014	3	84	20	diameter_at_breast_height	16.5	cm	cla_3_84_20	0	0
GW-9768	cla	2014	3	84	15	diameter_at_breast_height	11.4	cm	cla_3_84_15	0	0
BESC-13	cla	2014	3	85	26	diameter_at_breast_height	11	cm	cla_3_85_26	0	0
GW-9776	cla	2014	3	88	28	diameter_at_breast_height	15.700000000000001	cm	cla_3_88_28	0	0
BESC-388	cla	2014	3	88	3	diameter_at_breast_height	8.3	cm	cla_3_88_3	0	0
BESC-145	cla	2014	3	89	19	diameter_at_breast_height	13.100000000000001	cm	cla_3_89_19	0	0
BESC-2	cla	2014	3	90	19	diameter_at_breast_height	12.5	cm	cla_3_90_19	0	0
GW-9854	cla	2014	3	91	23	diameter_at_breast_height	10.4	cm	cla_3_91_23	0	0
BESC-102	cla	2014	3	92	22	diameter_at_breast_height	14.4	cm	cla_3_92_22	0	0
BESC-192	cla	2014	3	93	8	diameter_at_breast_height	12.4	cm	cla_3_93_8	0	0
BESC-133	cla	2014	3	93	10	diameter_at_breast_height	16.5	cm	cla_3_93_10	0	0
BESC-144	cla	2014	3	101	4	diameter_at_breast_height	5.2	cm	cla_3_101_4	0	1
BESC-35	cla	2014	3	101	30	diameter_at_breast_height	4.5	cm	cla_3_101_30	0	1
BESC-131	cla	2014	3	102	32	diameter_at_breast_height	4.4	cm	cla_3_102_32	0	1
SLMC-28-2	cla	2014	3	102	21	diameter_at_breast_height	4.3	cm	cla_3_102_21	0	1
BESC-36	cla	2014	3	103	19	diameter_at_breast_height	2.1	cm	cla_3_103_19	0	1
BESC-192	cla	2013	1	21	31	diameter_at_breast_height	11.700000000000001	cm	cla_1_21_31	0	0
GW-11026	cla	2013	1	22	26	diameter_at_breast_height	12.8	cm	cla_1_22_26	0	0
BESC-388	cla	2013	1	25	34	diameter_at_breast_height	8.5	cm	cla_1_25_34	0	0
SLMC-28-2	cla	2013	1	27	8	diameter_at_breast_height	10.600000000000001	cm	cla_1_27_8	0	0
BESC-351	cla	2013	1	27	10	diameter_at_breast_height	13	cm	cla_1_27_10	0	0
GW-9776	cla	2013	1	27	27	diameter_at_breast_height	12.200000000000001	cm	cla_1_27_27	0	0
BESC-133	cla	2013	1	28	16	diameter_at_breast_height	11.600000000000001	cm	cla_1_28_16	0	0
BESC-897	cla	2013	1	29	17	diameter_at_breast_height	12.3	cm	cla_1_29_17	0	0
GW-9768	cla	2013	1	32	10	diameter_at_breast_height	12.600000000000001	cm	cla_1_32_10	0	0
BESC-841	cla	2013	1	34	24	diameter_at_breast_height	8.700000000000001	cm	cla_1_34_24	0	0
BESC-265	cla	2013	1	35	9	diameter_at_breast_height	14.600000000000001	cm	cla_1_35_9	0	0
BESC-13	cla	2013	1	35	33	diameter_at_breast_height	4.7	cm	cla_1_35_33	0	0
GW-9854	cla	2013	1	35	34	diameter_at_breast_height	6.2	cm	cla_1_35_34	0	0
BESC-35	cla	2013	2	36	14	diameter_at_breast_height	12.600000000000001	cm	cla_2_36_14	0	0
BESC-13	cla	2013	2	39	29	diameter_at_breast_height	14.8	cm	cla_2_39_29	0	0
BESC-897	cla	2013	2	40	15	diameter_at_breast_height	13.5	cm	cla_2_40_15	0	0
BESC-36	cla	2013	2	42	9	diameter_at_breast_height	10.600000000000001	cm	cla_2_42_9	0	0
BESC-833	cla	2013	2	42	16	diameter_at_breast_height	15.100000000000001	cm	cla_2_42_16	0	0
BESC-841	cla	2013	2	43	26	diameter_at_breast_height	11.3	cm	cla_2_43_26	0	0
GW-9768	cla	2013	2	44	3	diameter_at_breast_height	10.3	cm	cla_2_44_3	0	0
GW-11026	cla	2013	2	47	9	diameter_at_breast_height	11.200000000000001	cm	cla_2_47_9	0	0
BESC-388	cla	2013	2	50	4	diameter_at_breast_height	12	cm	cla_2_50_4	0	0
GW-9776	cla	2013	2	50	9	diameter_at_breast_height	14	cm	cla_2_50_9	0	0
BESC-119	cla	2013	2	50	15	diameter_at_breast_height	11.100000000000001	cm	cla_2_50_15	0	0
BESC-319	cla	2013	2	50	22	diameter_at_breast_height	14	cm	cla_2_50_22	0	0
BESC-144	cla	2013	2	51	29	diameter_at_breast_height	18.1	cm	cla_2_51_29	0	0
BESC-2	cla	2013	2	52	12	diameter_at_breast_height	9.1	cm	cla_2_52_12	0	0
SLMC-28-2	cla	2013	2	52	25	diameter_at_breast_height	9.200000000000001	cm	cla_2_52_25	0	0
BESC-876	cla	2013	2	53	30	diameter_at_breast_height	15.200000000000001	cm	cla_2_53_30	0	0
BESC-351	cla	2013	2	54	28	diameter_at_breast_height	11.100000000000001	cm	cla_2_54_28	0	0
GW-9854	cla	2013	2	55	27	diameter_at_breast_height	9	cm	cla_2_55_27	0	0
BESC-131	cla	2013	2	57	31	diameter_at_breast_height	13.3	cm	cla_2_57_31	0	0
BESC-102	cla	2013	2	61	21	diameter_at_breast_height	12.4	cm	cla_2_61_21	0	0
BESC-265	cla	2013	2	61	22	diameter_at_breast_height	13.700000000000001	cm	cla_2_61_22	0	0
BESC-133	cla	2013	2	62	7	diameter_at_breast_height	12.700000000000001	cm	cla_2_62_7	0	0
BESC-145	cla	2013	2	65	33	diameter_at_breast_height	14.9	cm	cla_2_65_33	0	0
BESC-192	cla	2013	2	67	4	diameter_at_breast_height	15.5	cm	cla_2_67_4	0	0
BESC-265	cla	2013	3	71	34	diameter_at_breast_height	10.3	cm	cla_3_71_34	0	0
BESC-833	cla	2013	3	77	6	diameter_at_breast_height	12.4	cm	cla_3_77_6	0	0
GW-11026	cla	2013	3	78	17	diameter_at_breast_height	6.6000000000000005	cm	cla_3_78_17	0	0
BESC-897	cla	2013	3	80	15	diameter_at_breast_height	6.6000000000000005	cm	cla_3_80_15	0	0
BESC-841	cla	2013	3	83	30	diameter_at_breast_height	10	cm	cla_3_83_30	0	0
GW-9768	cla	2013	3	84	15	diameter_at_breast_height	7.4	cm	cla_3_84_15	0	0
BESC-319	cla	2013	3	84	20	diameter_at_breast_height	12.600000000000001	cm	cla_3_84_20	0	0
BESC-351	cla	2013	3	84	27	diameter_at_breast_height	10.8	cm	cla_3_84_27	0	0
BESC-13	cla	2013	3	85	26	diameter_at_breast_height	7.7	cm	cla_3_85_26	0	0
BESC-388	cla	2013	3	88	3	diameter_at_breast_height	6	cm	cla_3_88_3	0	0
GW-9776	cla	2013	3	88	28	diameter_at_breast_height	12.5	cm	cla_3_88_28	0	0
BESC-145	cla	2013	3	89	19	diameter_at_breast_height	11.4	cm	cla_3_89_19	0	0
BESC-2	cla	2013	3	90	19	diameter_at_breast_height	8.9	cm	cla_3_90_19	0	0
GW-9854	cla	2013	3	91	23	diameter_at_breast_height	9.600000000000001	cm	cla_3_91_23	0	0
BESC-102	cla	2013	3	92	22	diameter_at_breast_height	11.4	cm	cla_3_92_22	0	0
BESC-192	cla	2013	3	93	8	diameter_at_breast_height	7.2	cm	cla_3_93_8	0	0
BESC-133	cla	2013	3	93	10	diameter_at_breast_height	11.3	cm	cla_3_93_10	0	0
BESC-131	cla	2013	1	6	20	height	280	cm	cla_1_6_20	0	1
BESC-119	cla	2013	1	9	4	height	270	cm	cla_1_9_4	0	1
BESC-145	cla	2013	1	12	6	height	330	cm	cla_1_12_6	0	1
BESC-876	cla	2013	1	12	16	height	280	cm	cla_1_12_16	0	1
BESC-319	cla	2013	1	12	17	height	340	cm	cla_1_12_17	0	1
BESC-833	cla	2013	1	12	19	height	310	cm	cla_1_12_19	0	1
BESC-35	cla	2013	1	12	22	height	360	cm	cla_1_12_22	0	1
BESC-36	cla	2013	1	13	30	height	220.00000000000003	cm	cla_1_13_30	0	1
BESC-144	cla	2013	1	14	27	height	250	cm	cla_1_14_27	0	1
BESC-102	cla	2013	1	18	8	height	320	cm	cla_1_18_8	0	1
BESC-2	cla	2013	1	19	12	height	310	cm	cla_1_19_12	0	1
BESC-192	cla	2013	1	21	31	height	919.9999999999999	cm	cla_1_21_31	0	0
GW-11026	cla	2013	1	22	26	height	1000	cm	cla_1_22_26	0	0
BESC-388	cla	2013	1	25	34	height	760	cm	cla_1_25_34	0	0
SLMC-28-2	cla	2013	1	27	8	height	1280	cm	cla_1_27_8	0	0
BESC-351	cla	2013	1	27	10	height	1010	cm	cla_1_27_10	0	0
GW-9776	cla	2013	1	27	27	height	1160	cm	cla_1_27_27	0	0
BESC-133	cla	2013	1	28	16	height	1070	cm	cla_1_28_16	0	0
BESC-897	cla	2013	1	29	17	height	980.0000000000001	cm	cla_1_29_17	0	0
GW-9768	cla	2013	1	32	10	height	1370	cm	cla_1_32_10	0	0
BESC-841	cla	2013	1	34	24	height	1000	cm	cla_1_34_24	0	0
BESC-265	cla	2013	1	35	9	height	1210	cm	cla_1_35_9	0	0
BESC-13	cla	2013	1	35	33	height	670	cm	cla_1_35_33	0	0
GW-9854	cla	2013	1	35	34	height	850	cm	cla_1_35_34	0	0
BESC-35	cla	2013	2	36	14	height	1380	cm	cla_2_36_14	0	0
BESC-13	cla	2013	2	39	29	height	1150	cm	cla_2_39_29	0	0
BESC-897	cla	2013	2	40	15	height	1270	cm	cla_2_40_15	0	0
BESC-36	cla	2013	2	42	9	height	1000	cm	cla_2_42_9	0	0
BESC-833	cla	2013	2	42	16	height	1170	cm	cla_2_42_16	0	0
BESC-841	cla	2013	2	43	26	height	1110	cm	cla_2_43_26	0	0
GW-9768	cla	2013	2	44	3	height	1160	cm	cla_2_44_3	0	0
GW-11026	cla	2013	2	47	9	height	940	cm	cla_2_47_9	0	0
BESC-388	cla	2013	2	50	4	height	1019.9999999999999	cm	cla_2_50_4	0	0
GW-9776	cla	2013	2	50	9	height	1270	cm	cla_2_50_9	0	0
BESC-119	cla	2013	2	50	15	height	1260	cm	cla_2_50_15	0	0
BESC-319	cla	2013	2	50	22	height	1150	cm	cla_2_50_22	0	0
BESC-144	cla	2013	2	51	29	height	1380	cm	cla_2_51_29	0	0
BESC-2	cla	2013	2	52	12	height	1140	cm	cla_2_52_12	0	0
SLMC-28-2	cla	2013	2	52	25	height	1120	cm	cla_2_52_25	0	0
BESC-876	cla	2013	2	53	30	height	1300	cm	cla_2_53_30	0	0
BESC-351	cla	2013	2	54	28	height	1210	cm	cla_2_54_28	0	0
GW-9854	cla	2013	2	55	27	height	1190	cm	cla_2_55_27	0	0
BESC-131	cla	2013	2	57	31	height	1290	cm	cla_2_57_31	0	0
BESC-102	cla	2013	2	61	21	height	1000	cm	cla_2_61_21	0	0
BESC-265	cla	2013	2	61	22	height	1170	cm	cla_2_61_22	0	0
BESC-133	cla	2013	2	62	7	height	1019.9999999999999	cm	cla_2_62_7	0	0
BESC-145	cla	2013	2	65	33	height	1360	cm	cla_2_65_33	0	0
BESC-192	cla	2013	2	67	4	height	850	cm	cla_2_67_4	0	0
BESC-265	cla	2013	3	71	34	height	1050	cm	cla_3_71_34	0	0
BESC-833	cla	2013	3	77	6	height	1060	cm	cla_3_77_6	0	0
GW-11026	cla	2013	3	78	17	height	580	cm	cla_3_78_17	0	0
BESC-897	cla	2013	3	80	15	height	650	cm	cla_3_80_15	0	0
BESC-841	cla	2013	3	83	30	height	1090	cm	cla_3_83_30	0	0
GW-9768	cla	2013	3	84	15	height	840	cm	cla_3_84_15	0	0
BESC-319	cla	2013	3	84	20	height	1019.9999999999999	cm	cla_3_84_20	0	0
BESC-351	cla	2013	3	84	27	height	1110	cm	cla_3_84_27	0	0
BESC-13	cla	2013	3	85	26	height	910	cm	cla_3_85_26	0	0
BESC-388	cla	2013	3	88	3	height	660	cm	cla_3_88_3	0	0
GW-9776	cla	2013	3	88	28	height	1180	cm	cla_3_88_28	0	0
BESC-145	cla	2013	3	89	19	height	840	cm	cla_3_89_19	0	0
BESC-2	cla	2013	3	90	19	height	720	cm	cla_3_90_19	0	0
GW-9854	cla	2013	3	91	23	height	770	cm	cla_3_91_23	0	0
BESC-102	cla	2013	3	92	22	height	710	cm	cla_3_92_22	0	0
BESC-192	cla	2013	3	93	8	height	750	cm	cla_3_93_8	0	0
BESC-133	cla	2013	3	93	10	height	720	cm	cla_3_93_10	0	0
BESC-144	cla	2013	3	101	4	height	300	cm	cla_3_101_4	0	1
BESC-35	cla	2013	3	101	30	height	310	cm	cla_3_101_30	0	1
SLMC-28-2	cla	2013	3	102	21	height	250	cm	cla_3_102_21	0	1
BESC-131	cla	2013	3	102	32	height	340	cm	cla_3_102_32	0	1
BESC-36	cla	2013	3	103	19	height	200	cm	cla_3_103_19	0	1
BESC-131	cla	2015	1	6	20	diameter_at_breast_height	3.4000000000000004	cm	cla_1_6_20	0	1
BESC-119	cla	2015	1	9	4	diameter_at_breast_height	5.5	cm	cla_1_9_4	0	1
BESC-35	cla	2015	1	12	22	diameter_at_breast_height	8.8	cm	cla_1_12_22	0	1
BESC-833	cla	2015	1	12	19	diameter_at_breast_height	8.5	cm	cla_1_12_19	0	1
BESC-319	cla	2015	1	12	17	diameter_at_breast_height	8	cm	cla_1_12_17	0	1
BESC-876	cla	2015	1	12	16	diameter_at_breast_height	8.8	cm	cla_1_12_16	0	1
BESC-145	cla	2015	1	12	6	diameter_at_breast_height	9	cm	cla_1_12_6	0	1
BESC-36	cla	2015	1	13	30	diameter_at_breast_height	2.5	cm	cla_1_13_30	0	1
BESC-144	cla	2015	1	14	27	diameter_at_breast_height	3.8000000000000003	cm	cla_1_14_27	0	1
BESC-102	cla	2015	1	18	8	diameter_at_breast_height	7.300000000000001	cm	cla_1_18_8	0	1
BESC-2	cla	2015	1	19	12	diameter_at_breast_height	9.8	cm	cla_1_19_12	0	1
BESC-192	cla	2015	1	21	31	diameter_at_breast_height	19.400000000000002	cm	cla_1_21_31	0	0
GW-11026	cla	2015	1	22	26	diameter_at_breast_height	15.4	cm	cla_1_22_26	0	0
BESC-388	cla	2015	1	25	34	diameter_at_breast_height	12.3	cm	cla_1_25_34	0	0
SLMC-28-2	cla	2015	1	27	8	diameter_at_breast_height	13.8	cm	cla_1_27_8	0	0
BESC-351	cla	2015	1	27	10	diameter_at_breast_height	17.1	cm	cla_1_27_10	0	0
GW-9776	cla	2015	1	27	27	diameter_at_breast_height	17.6	cm	cla_1_27_27	0	0
BESC-133	cla	2015	1	28	16	diameter_at_breast_height	18.3	cm	cla_1_28_16	0	0
BESC-897	cla	2015	1	29	17	diameter_at_breast_height	18.8	cm	cla_1_29_17	0	0
GW-9768	cla	2015	1	32	10	diameter_at_breast_height	16.400000000000002	cm	cla_1_32_10	0	0
BESC-841	cla	2015	1	34	24	diameter_at_breast_height	14.600000000000001	cm	cla_1_34_24	0	0
