ord,tree,genotype,block,Depth,latitude,longitude,Row,Column,Trait,BD,MCwetBD,MCdryBD,MCwetCHEM,MCdryCHEM,pH,Sand,Clay,Silt,POMpN,POMpC,MAOMpN,MAOMpC,POMN,POMC,MAOMN,MAOMC,TotpN,TotpC,TotC,pCa,pK,pMg,pP,pC,pN,pS,Lig,Alppm,Bppm,Crppm,Cuppm,Feppm,Mnppm,Nappm,Nippm,Znppm,root_CN,agb,cop_id,height,TotC_st,MAOMC_st,POMC_st,pMAOM,pPOM,MAOM_POM,TotC_agb,MAOM_CN,POM_CN,soil_CN,C_chk,C_chk_abs,C_chk_rel,C_chk_id,TotC_st_30,TotC_30
1,BESC-102-1,BESC-102,1,15,46.121497,-123.268847,18,8,HF,0.8840146679342659,0.3735774607222771,0.5963665693654941,0.41999999999999993,0.7241379310344825,5.106,0,45.900000000000006,55.749999999999986,0.8930000000000002,19.61,0.313,4.05,0.53,11.56,3.05,39.52,0.406,6.04,60.4,0.71988,0.43521,0.15765,0.07964,47.489,0.955,0.08403,26.58,7378.17,16.35,73.565,15.167,6213.76,152.445,285.622,7.073,55.162,49.726701570680625,5.374591944077967,Coppiced,930,80.0917289148445,52.40438951514328,15.328814341980172,65.43046357615894,19.13907284768212,3.4186851211072664,11.2380624665938,12.95737704918033,21.81132075471698,14.876847290640393,15.430463576158928,-9.319999999999993,-15.430463576158928,Good,99.32942245008829,44.21546849849237
2,BESC-102-2,BESC-102,2,15,46.121142,-123.270561,61,21,HF,0.6193467336683417,0.4093322971310148,0.6929992873197741,0.43400000000000005,0.76678445229682,5.089,7.849999999999994,45.150000000000006,47,0.8050634630594267,16.53,0.298,3.4,0.4,9.36559350870312,2.83,52.9718707651,0.526,7.636666666666666,76.36666666666666,0.8155,0.36465,0.12897,0.10552,51.277,1.017,0.11408,32.71,5044.21,11.643,54.669,21.753,3243.34,283.393,307.614,9.595,73.663,50.419862340216326,3.864154206112069,Non-coppiced,1000,70.94616834170854,49.21193270199931,8.70082462272105,69.36517341567003,12.263981024054718,5.656007888434949,19.762841386059286,18.717975535371025,23.413983771757795,14.518377693282634,18.37084556027526,-14.029202392863539,-18.37084556027526,Good,132.2236944859432,70.85998598904598
3,BESC-102-3,BESC-102,3,15,46.121067,-123.27178899999998,92,22,HF,0.7910837973652045,0.3241181248549548,0.4795484784754711,0.352,0.5432098765432097,5.7,8.39079607936886,38.2060004781258,51.2032034425054,0.641937000572722,13.3,0.399,5.64,0.37,7.59,3.68,51.99,0.385,5.35,53.5,0.75848,0.6104,0.19529,0.14161,44.073,1.107,0.10951,24.03,8403.85,16.98,256.507,23.006,8770,165.941,335.891,15.061,51.25,39.8130081300813,8.027528780456063,Non-coppiced,710,63.48447473855765,61.69266993752548,9.006489033002854,97.17757009345794,14.186915887850468,6.849802371541502,6.664566576235998,14.127717391304348,20.513513513513512,13.896103896103895,11.364485981308409,6.079999999999998,11.364485981308409,Good,104.23234754855358,42.84569358958256
4,BESC-119-1,BESC-119,1,15,46.121625,-123.268506,9,4,HSG,0.8169903571913623,0.3625428603030638,0.5687329197935193,0.3459999999999999,0.5290519877675839,5.706,0,37.90262172284645,62.87141073657929,0.5610000000000002,11.57,0.28,3.39,0.34,7.07,2.65,32.04,0.3320000000000001,4.243181438689318,42.43181438689318,0.90493,0.71556,0.09802,0.11765,51.781,0.997,0.11546,35.71,2109.76,11.844,14.033,24.694,1833.12,149.316,107.555,4.876,57.833,51.93681043129388,3.344783984083462,Coppiced,720,51.99957478833816,39.26455656661687,8.664182738014398,75.50938007943606,16.662026128639603,4.5318246110325315,12.68596554779317,12.090566037735849,20.794117647058822,12.780666984003966,7.8285937919243445,-3.3218143868931804,-7.8285937919243445,Good,72.03719532344613,29.87677575466655
5,BESC-131-1,BESC-131,1,15,46.121186,-123.268422,6,20,LSG,0.7943093847616461,0.38928627369080565,0.6374284004445585,0.366,0.5772870662460569,5.454,3.8832550086569313,38.783081869898595,57.333663121444474,0.6490000000000001,12.98,0.36600000000000005,4.99,0.39,7.85,3.54,48.31,0.4460000000000001,6.785570041400381,67.8557004140038,0.64087,0.33447,0.06985,0.08973,53.107,0.939,0.10276,25.55,2443.64,10.979,53.096,28.368,2629.39,170.083,129.5,7.14,49.091,56.556975505857295,2.2288054295196456,Coppiced,730,80.84762947262692,57.5596295667527,9.352993005568383,71.19519761088483,11.568666968442265,6.154140127388535,30.44487397387045,13.646892655367232,20.128205128205128,15.214282604036724,17.23613542067291,-11.695700414003802,-17.23613542067291,Good,156.2459861207323,67.3421251972343
6,BESC-131-2,BESC-131,2,15,46.120867,-123.270444,57,31,LSG,0.701819910362624,0.41750035226151894,0.7167392356071601,0.4,0.6666666666666666,5.579,7.1801242236024905,41.88819875776398,50.93167701863353,0.8160000000000002,18.11,0.39800000000000013,5.71,0.41,9.15,3.83,54.95,0.4970000000000001,7.552125670021818,75.52125670021817,0.63574,0.3465,0.10121,0.09406,52.093,0.977,0.10809,37.24,2502.82,9.928,19.896,39.533,1375.17,149.925,156.146,8.133,72.11,53.31934493346981,6.980348377189824,Non-coppiced,1290,79.50348241172976,57.84750611163929,9.632478269727015,72.76097141513968,12.115794148289865,6.005464480874317,10.8191242928511,14.347258485639687,22.31707317073171,15.195423883343695,15.123234436570455,-11.421256700218166,-15.123234436570455,Good,120.22659798961922,65.37996942318478
7,BESC-131-3,BESC-131,3,15,46.120785999999995,-123.272211,102,32,LSG,0.8510457693874779,0.34877497466808705,0.5355675244364653,0.3380000000000001,0.5105740181268884,5.311,9.691420828785425,42.73703639579961,47.57154277541496,0.394391305533586,7.18,0.3810000000000001,5.2,0.29,5.34,3.62,49.4,0.4490000000000001,6.663035490806676,66.63035490806676,0.92304,0.33967,0.10522,0.06242,51.732,0.688,0.08309,36.43,3820.98,11.537,71.109,24.719,2538.57,88.533,304.988,9.172,53.832,75.19186046511628,5.280327232225427,Coppiced,600,85.05822248594458,63.06249151161211,6.816876612793697,74.14038251508588,8.01436523543641,9.250936329588015,12.618603351214084,13.646408839779005,18.413793103448278,14.839722696674107,17.845252249477713,-11.890354908066769,-17.845252249477713,Good,138.25288668531982,55.9285756092528
8,BESC-133-1,BESC-133,1,15,46.121269,-123.269267,28,16,LPCA,0.6188374303952194,0.39558945448516,0.6545045539339404,0.34800000000000003,0.5337423312883437,5.366,0,43.400000000000006,56.75,0.5497775111135353,10.2,0.328,4.28,0.19,3.55,3.19,41.59,0.391,5.51,55.099999999999994,0.99962,0.39281,0.1021,0.10997,53.064,0.888,0.12806,36.14,2603.71,12.659,19.289,43.761,3284.72,295.736,234.442,10.102,54.246,59.75675675675676,8.027528780456063,Non-coppiced,1070,51.14691362216489,38.60617309520576,3.2953093168545435,75.480943738657,6.442831215970962,11.71549295774648,6.86388071683371,13.037617554858935,18.684210526315788,14.092071611253196,18.07622504537204,-9.959999999999994,-18.07622504537204,Good,96.3366189053375,49.092587594082524
9,BESC-133-2,BESC-133,2,15,46.121514000000005,-123.270581,62,7,LPCA,0.6073950835257368,0.44033913152296333,0.7867963553021411,0.42685370741482964,0.7447552447552447,5.269,4.1000000000000085,29.15000000000001,66.74999999999999,0.643121062535795,12.95,0.43,6.255,0.39,7.86,4.05,58.98,0.558,8.83,88.3,0.62604,0.41372,0.10569,0.10787,51.31,1.239,0.12716,37.29,2695.68,9.01,26.68,35.338,2280.02,150.587,277.112,7.195,54.82,41.41242937853107,4.959182288186627,Non-coppiced,1020,80.44947881298384,53.73624303952194,7.161188034768438,66.79501698754247,8.901472253680636,7.5038167938931295,17.80535476793045,14.562962962962963,20.153846153846153,15.82437275985663,24.30351075877689,-21.459999999999994,-24.30351075877689,Good,143.26600740187425,72.77521279072776
10,BESC-133-3,BESC-133,3,15,46.121417,-123.271817,93,10,LPCA,0.8146136085834579,0.30790976749552884,0.4448982994331446,0.316,0.4619883040935673,5.308,1.5999999999999943,37.150000000000006,61.25,0.4631655712220798,9.56,0.183,1.87,0.19,3.87,1.77,18.06,0.231,2.73,27.3,1.13586,0.34179,0.13598,0.0795,52.644,0.788,0.11074,31.62,1907.17,12.055,21.584,20.288,2239.81,158.976,526.062,5.188,62.981,66.80710659898476,12.68947140102948,Non-coppiced,720,33.3584272714926,22.067882656525875,4.7288319978269735,66.15384615384615,14.175824175824175,4.666666666666666,2.151389852045783,10.203389830508474,20.36842105263158,11.818181818181818,19.67032967032967,-5.370000000000001,-19.67032967032967,Good,62.30942550590792,23.83867812396485
11,BESC-144-1,BESC-144,1,15,46.120971999999995,-123.268733,14,27,LF,0.8391959798994976,0.39627250299225675,0.6563764363165561,0.36199999999999993,0.5673981191222569,5.205,1.84999999999999,41.65,56.5,0.8990000000000002,18.73,0.338,4.4,0.39,8.2,3.4,44.26,0.378,5.41,54.1,1.02939,0.19932,0.08661,0.05872,50.882,0.735,0.10798,30.05,2142.26,10.011,52.863,26.052,2232.22,376.101,157.238,6.719,61.886,69.22721088435374,2.9574084563719074,Coppiced,960,68.10075376884424,55.71422110552764,10.322110552763819,81.81146025878003,15.157116451016634,5.397560975609756,18.293042979382314,13.01764705882353,21.025641025641022,14.312169312169312,3.031423290203341,-1.6400000000000077,-3.031423290203341,Good,131.1810301507538,59.46703760995545
12,BESC-144-2,BESC-144,2,15,46.120936,-123.270194,29,29,LF,0.8168545429851962,0.38817964498245267,0.6344667054618008,0.33466933867735466,0.503012048192771,5.351,0.7999999999999972,43.400000000000006,55.8,0.7870394087326478,15.76,0.32,3.9,0.29,5.72,3.06,37.24,0.375,4.99,49.900000000000006,0.95491,0.40597,0.12177,0.10195,51.818,0.906,0.12405,33.34,3171.3,13.679,56.992,27.316,3149.81,1283.54,210.626,13.656,90.124,57.19426048565121,16.785801365890396,Non-coppiced,1380,61.14156254244194,45.62949477115306,7.008611978812984,74.62925851703406,11.462925851703405,6.510489510489511,2.9727505355448414,12.169934640522877,19.724137931034484,13.306666666666667,13.907815631262533,-6.940000000000005,-13.907815631262533,Good,104.115462447372,46.60372506554201
13,BESC-144-3,BESC-144,3,15,46.121564,-123.272117,101,4,LF,0.8706369686269185,0.3723195926760011,0.5931674596365336,0.31999999999999995,0.4705882352941175,5.152,2.8499999999999943,41.650000000000006,55.5,0.5780000000000001,11.79,0.215,2.26,0.24,7.3343848580432836,2.08,40.62442011504905,0.409,5.626666666666667,56.266666666666666,1.12885,0.25014,0.10344,0.05502,52.155,0.679,0.09431,27.72,2316.99,11.442,43.033,12.764,2107.65,157.115,229.561,8.272,60.713,76.81148748159058,6.057860092827217,Coppiced,430,73.48176015211192,53.05368297178908,9.578379899324965,72.19979878267011,13.03504417898688,5.538899430740686,9.288208344938335,19.530971209158196,30.559936908513684,13.75713121434393,14.765157038343006,-8.307861693574331,-14.765157038343006,Good,160.06748268368872,58.17547139542919
14,BESC-145-1,BESC-145,1,15,46.121542,-123.268644,12,6,HPCA,0.8716216216216216,0.3867561692267266,0.6306727435627753,0.332,0.4970059880239522,5.302,4.1000000000000085,40.900000000000006,54.999999999999986,0.4360000000000001,9.44,0.4065,5.83,0.24,7.81340273040413,3.88,30.489443054818683,0.25,4.5633333333333335,45.63333333333333,1.58747,0.62776,0.12098,0.10199,89.681,0.84,0.15131,22.72,1870,11.332,37.304,21.064,2317.79,244.554,212.929,7.164,56.238,106.76309523809523,6.2167768431973744,Coppiced,910,59.6625,39.86288669667172,10.21549613738648,66.81397309310157,17.122138927109123,3.9021978140427542,7.34035248237469,7.858103880107908,32.55584471001721,18.253333333333334,16.063887979789303,-7.3304875481105185,-16.063887979789303,Good,76.39763513513513,29.216666666666665
15,BESC-145-2,BESC-145,2,15,46.120803,-123.270744,65,33,HPCA,0.6462039929376613,0.39297674863649407,0.6473833543505674,0.378,0.6077170418006431,5.125,2.8499999999999943,50.90000000000001,46.24999999999999,0.8790000000000002,19.27,0.402,5.7,0.49,10.76,3.79,53.69,0.513,7.91,79.1,0.90582,0.34631,0.13027,0.08056,53.334,0.671,0.13143,38.53,2517.54,11.274,17.152,23.896,2949.2,435.243,422.302,6.73,63.002,79.48435171385991,7.0523213884447955,Non-coppiced,1360,76.67210376205351,52.04203857123455,10.429732446013855,67.87610619469027,13.603034134007586,4.989776951672862,11.216164953798769,14.166226912928758,21.959183673469386,15.419103313840155,18.52085967130214,-14.649999999999991,-18.52085967130214,Good,136.41164097514599,71.19420270593551
16,BESC-145-3,BESC-145,3,15,46.121189,-123.271639,89,19,HPCA,1.1407714246910228,0.32308498206874314,0.47729031489969626,0.30599999999999994,0.440922190201729,5.191,0,39.650000000000006,60.79999999999998,0.6450000000000001,15.05,0.209,2.15,0.29,6.88,1.99,20.43,0.272,3.38,33.8,1.18731,0.32862,0.11805,0.0721,51.532,0.579,0.10682,26.24,2483.78,13.029,127.95,17.211,3323.29,147.439,268.391,5.675,57.657,89.00172711571675,9.330321294039194,Non-coppiced,840,57.837111231834854,34.95894030965639,11.772761102811355,60.443786982248525,20.355029585798817,2.9694767441860463,3.6225976506932938,10.266331658291458,23.724137931034484,12.426470588235293,19.20118343195266,-6.489999999999998,-19.20118343195266,Good,83.74655031916339,26.848048852169935
17,BESC-192-1,BESC-192,1,15,46.120889,-123.269003,21,31,HPCA,0.9151500746978134,0.30889743589743596,0.44696323229325136,0.328,0.48809523809523814,5.618,0,37.150000000000006,63.749999999999986,0.4471368805738129,8.21,0.194,2,0.19,5.967355495657256,1.94,18.9825733752621,0.294,3.2266666666666666,32.266666666666666,1.07927,0.4585,0.11113,0.11996,52.251,0.965,0.13909,32.8,2105.98,11.318,27.854,30.835,1659.73,101.364,191.803,7.119,69.229,54.14611398963731,11.502625553090017,Non-coppiced,920,44.293263615374165,26.057855163491745,8.191538741398718,58.83028938614287,18.493870337780752,3.181069636135583,2.805156659037613,9.784831636733042,31.40713418766977,10.975056689342404,22.67584027607638,-7.316737795747311,-22.67584027607638,Good,72.35756485128344,27.6754001493458
18,BESC-192-2,BESC-192,2,15,46.121594,-123.270758,67,4,HPCA,0.6291253565122913,0.4318697491874654,0.7601597495817365,0.4040000000000001,0.6778523489932888,5.228,4.1000000000000085,42.15000000000001,53.74999999999998,0.8740000000000002,19.16,0.201,2.11,0.41,7.313711533016758,1.93,63.71562047637863,0.53,9.076666666666666,90.76666666666667,0.5835,0.29767,0.07966,0.07653,52.592,0.793,0.10352,38.94,2358.38,9.427,23.727,19.027,1640.17,277.987,128.863,5.461,56.769,66.32030264817149,8.664621372346724,Non-coppiced,850,85.65541728914846,60.12766867140533,6.901862063455837,70.1971580716621,8.057706426386439,8.711803875329661,10.475549105509666,33.01327485822727,17.838320812235995,17.12578616352201,21.745135501951463,-19.737334657271276,-21.745135501951463,Good,145.01015041423335,76.03145606351919
19,BESC-192-3,BESC-192,3,15,46.121469,-123.271817,93,8,HPCA,1.1854203449680838,0.27558875402012656,0.38043135794689653,0.29799999999999993,0.4245014245014244,5.303,4.1000000000000085,48.40000000000001,47.49999999999998,0.5180000000000001,11.85,0.201,2.06,0.25,3.2640092432119023,1.92,19.529165658570676,0.28,2.686666666666667,26.86666666666667,0.71734,0.33266,0.13217,0.0697,49.09,0.686,0.08522,28.03,3407.6,11.444,62.709,14.286,3886.15,134.873,147.902,9.223,48.231,71.5597667638484,8.910886983356168,Non-coppiced,750,47.77243990221378,34.725405437882564,5.803834444600901,72.68920220311665,12.148917778704348,5.983183319466729,3.0150384262361833,10.171440447172227,13.05603697284761,9.595238095238095,15.161880018179003,-4.073491764884093,-15.161880018179003,Good,83.31955215265518,26.083412521258506
20,BESC-2-1,BESC-2,1,15,46.121414,-123.268897,19,12,LSG,0.8052763819095479,0.3461888352860096,0.5294936121769194,0.33399999999999996,0.5015015015015015,5.602,0,40.48036027020265,60.845634225669244,0.670672430250634,14.21,0.214,2.25,0.18,3.75,2.08,21.9,0.23300000000000007,2.6817710080047026,26.817710080047025,0.9053,0.80489,0.09844,0.10703,52.342,1.005,0.13197,20.49,1409.22,10.526,16.273,19.087,1682.21,136.395,207.878,4.405,71.467,52.081592039801,5.768482458368036,Coppiced,1020,32.39350281653922,26.453329145728645,4.529679648241207,81.66245341094238,13.98329681694219,5.84,4.649006090179571,10.528846153846153,20.833333333333336,11.509746815470823,4.354249772115438,-1.1677100800470264,-4.354249772115438,Good,66.69898971046833,28.905938064902564
21,BESC-2-2,BESC-2,2,15,46.121371999999994,-123.270208,52,12,LSG,0.6718389243514872,0.44061855087213414,0.7876888866427453,0.41600000000000004,0.7123287671232877,5.573,0.5737091544026072,47.04415066101272,52.38214018458467,0.7630000000000002,13.81,0.434,6.46,0.4,7.21,4.07,60.53,0.5550000000000002,8.929898836522261,89.29898836522261,0.69846,0.36523,0.08032,0.07925,51.08,0.79,0.1239,31.89,2238.6,8.226,8.535,21.451,1955.62,94.165,305.085,6.597,40.296,64.65822784810126,4.784714265722171,Non-coppiced,1140,89.99180443345068,60.999615136493276,7.265937966861334,67.78352264466787,8.073999640972334,8.395284327323163,18.663389996966615,14.872235872235871,18.025,16.08990781355362,24.142477714359796,-21.558988365222618,-24.142477714359796,Good,151.77131006974025,79.74895182333769
22,BESC-2-3,BESC-2,3,15,46.121147,-123.271692,90,19,LSG,0.9801711258997692,0.3178961296725108,0.4660523763336567,0.324,0.47928994082840243,5.513,2.065190345857175,39.014680268723566,58.92012938541926,0.6030000000000001,13.61,0.21,2.13,0.24,5.47,2.06,20.86,0.2700000000000001,3.238971505766494,32.38971505766494,0.63535,0.423,0.12245,0.08875,49.819,0.919,0.12044,35.45,2569.7,12.707,32.74,31.126,4110.27,230.729,224.009,7.622,70.435,54.21001088139282,5.9520513769977725,Non-coppiced,720,47.62119521346622,30.669554529403776,8.042304088007606,64.40315996254353,16.88807694128059,3.813528336380256,5.441773433414545,10.12621359223301,22.791666666666668,11.996190762098122,18.708763096175876,-6.059715057664938,-18.708763096175876,Good,80.5867561261377,27.574746336563233
23,BESC-265-1,BESC-265,1,15,46.121489,-123.269519,35,9,LSG,0.6420277060980579,0.3645742321392566,0.5737479507113014,0.388,0.6339869281045751,5.385,6.693306693306695,47.9020979020979,45.404595404595405,0.3840000000000001,7.02,0.397,5.58,0.4,7.22,3.57,50.18,0.5080000000000001,7.524718665831221,75.24718665831222,0.672,0.29028,0.09897,0.09777,49.839,1.187,0.11072,31.41,2806.47,11.236,25.289,40.085,2069.76,162.007,144.68,9.532,64.364,41.987363100252736,8.027528780456063,Non-coppiced,1210,72.46616796085287,48.32542543800082,6.953160057041967,66.68687857774792,9.595043111425666,6.950138504155125,9.373642713248204,14.056022408963585,18.049999999999997,14.812438318565393,23.718078310826414,-17.847186658312218,-23.718078310826414,Good,138.60443361344014,69.5934497512345
24,BESC-265-2,BESC-265,2,15,46.121117,-123.270567,61,22,LSG,0.5788401466793427,0.4479632148176932,0.8114734866259973,0.39,0.639344262295082,5.759,4.837509302902504,42.619697345571815,52.54279335152568,0.9220000000000003,19.77,0.383,5.48,0.46,9.85,3.67,52.5,0.4960000000000001,7.651523660706312,76.51523660706312,0.7063,0.39994,0.10644,0.10637,52.05,1.164,0.11034,34.19,2625.35,9.182,20.253,45.281,1547.46,135.526,166.905,5.222,64.897,44.71649484536083,8.583427774080539,Non-coppiced,1170,66.43513617125554,45.58366155099824,8.552363167187288,68.61378508127586,12.873253010486996,5.32994923857868,8.914298415618633,14.305177111716622,21.413043478260867,15.426458993359496,18.51296190823714,-14.165236607063115,-18.51296190823714,Good,120.00554904644228,69.7182872348792
25,BESC-265-3,BESC-265,3,15,46.120758,-123.270978,71,34,LSG,0.6845715061795464,0.308051341890315,0.44519392917369305,0.368,0.5822784810126581,5.572,7.5018568952711036,45.01114137162664,47.487001733102254,0.9410000000000002,22.26,0.39500000000000013,5.68,0.63,14.86,3.67,52.81,0.4770000000000001,7.3285039912285,73.285039912285,0.69317,0.3694,0.11132,0.06852,50.149,0.785,0.09138,34.57,3091.73,11.575,75.51,18.271,3110.47,473.414,220.902,7.345,86.379,63.88407643312102,6.017638737369683,Non-coppiced,1050,75.25327522977167,54.22833186201277,15.25909887274209,72.06109195438576,20.27698970729355,3.5538358008075375,12.178371469390994,14.38964577656676,23.587301587301585,15.36374002353983,7.661918338320686,-5.615039912284999,-7.661918338320686,Good,129.49822973201262,63.03998053035876
26,BESC-319-1,BESC-319,1,15,46.121264,-123.268642,12,17,HSG,1.0758182805921501,0.315333419767492,0.4605649360896321,0.324,0.47928994082840243,5.005,0,41.61073825503357,61.12176414189835,0.561,11.23,0.257,2.86,0.31,6.22,2.47,27.51,0.3400000000000001,4.482524880505824,44.825248805058244,0.54645,0.41591,0.09839,0.08706,50.889,0.854,0.10333,31.78,2850.39,11.883,76.313,35.091,3968.24,291.065,140.612,10.422,48.867,59.58899297423888,5.591287368481118,Coppiced,1020,72.33573314485965,44.39364134863508,10.03738455792476,61.37166158215651,13.876108143984494,4.42282958199357,8.016981752314242,11.137651821862349,20.064516129032256,13.183896707370069,24.752230273858984,-11.09524880505824,-24.752230273858984,Good,94.37192084009257,33.72270020907913
27,BESC-319-2,BESC-319,2,15,46.121092,-123.270156,50,22,HSG,0.6798519625152791,0.3772587316891114,0.6058033261748988,0.406,0.6835016835016836,5.608,6.786427145708586,44.11177644710579,49.101796407185624,0.987825619767093,21.34,0.407,5.72,0.54,11.57,3.79,53.28,0.5190000000000001,7.8180791477649425,78.18079147764942,0.5071,0.41297,0.10251,0.08883,52.055,0.853,0.1004,34.77,2343.77,9.31,29.421,34.48,1841.48,168.802,215.116,5.214,64.631,61.025791324736225,8.993872811055247,Non-coppiced,1150,79.72704677561666,54.333768844221105,11.79883080945267,68.14973216948292,14.79903155407127,4.605012964563526,8.692672569435247,14.058047493403695,21.425925925925924,15.063736315539385,17.05123627644583,-13.330791477649427,-17.05123627644583,Good,138.59096942942625,62.87692332725574
28,BESC-319-3,BESC-319,3,15,46.121122,-123.27145,84,20,HSG,0.9502920005432569,0.3080156257726351,0.4451193368586537,0.32599999999999996,0.48367952522255186,5.333,0,38.73961895456767,64.72887151929652,0.6340000000000001,15.34,0.219,2.32,0.35,8.5,2.1,22.26,0.29900000000000004,4.156360858423374,41.56360858423375,0.52533,0.47386,0.12793,0.10031,51.371,0.983,0.11591,28.95,3037.09,11.679,86.747,23.364,3537.9,139.059,163.344,8.258,57.145,52.25940996948118,11.988874494686211,Non-coppiced,1020,59.246347126962554,31.730249898139352,12.116223006926527,53.55646624110461,20.450582347232213,2.618823529411765,3.4668482519068697,10.6,24.28571428571429,13.900872436198574,25.992951411663185,-10.803608584233746,-25.992951411663185,Good,88.75185948605531,31.973380372381456
29,BESC-35-1,BESC-35,1,15,46.121111,-123.268669,12,22,HSG,1.007673502648377,0.32030963722975453,0.47125817103578416,0.22199999999999998,0.2853470437017994,5.336,0,44.650000000000006,62,0.4340000000000001,10.61,0.21,2.62,0.24,5.89,2.02,25.25,0.2690000000000001,3.7622423717028086,37.622423717028084,0.77616,0.3106,0.1634,0.10313,46.387,0.969,0.11088,27.99,6626.76,14.927,98.307,38.961,5228.64,131.543,201.234,11.19,52.109,47.871001031991746,6.375579976230611,Coppiced,990,56.86667922758859,38.16563391280728,8.90279539589841,67.11423003981461,15.655557027109229,4.286926994906621,5.901019806400629,12.5,24.541666666666668,13.986031121571775,17.230212933076157,-6.482423717028084,-17.230212933076157,Good,93.2867984045545,39.454069813117066
30,BESC-35-2,BESC-35,2,15,46.121308,-123.269583,36,14,HSG,0.875526280048893,0.35421988479839733,0.5485146978980845,0.39,0.639344262295082,5.335,0.3500000000000085,42.15000000000001,57.49999999999998,0.8360000000000002,19.8,0.351,4.71,0.7,16.62,3.35,45.01,0.4790000000000001,7.497640785053395,74.97640785053395,0.81812,0.60565,0.0993,0.11379,51.995,0.687,0.10822,25.11,2911.85,9.702,32.017,20.017,2331.5,493.506,341.044,10.339,56.918,75.68413391557496,5.822134617410372,Non-coppiced,1380,98.46572318520991,59.11115679750101,21.826870161618903,60.03221718720879,22.16697288716752,2.708182912154031,12.877821070355585,13.435820895522387,23.742857142857147,15.652694749589548,17.800809925623696,-13.34640785053395,-17.800809925623696,Good,162.928544046272,64.98827126122639
31,BESC-35-3,BESC-35,3,15,46.120867,-123.272158,101,30,HSG,0.9527706098057857,0.339056905973243,0.5129895584619225,0.3540000000000001,0.5479876160990714,5.148,18.35000000000001,29.65000000000001,51.999999999999986,0.8360000000000002,20.58,0.346,4.66,0.45,11.15,3.25,43.8,0.45800000000000013,7.064663975400429,70.6466397540043,1.022,0.59725,0.11865,0.09334,49.533,0.751,0.11451,29.75,3240.2,12.168,15.394,17.543,2262.04,300.403,424.382,6.815,46.126,65.9560585885486,3.3248689739301645,Coppiced,670,100.96506305872849,62.59702906424012,15.935088449001764,61.998702489621785,15.782774720531576,3.928251121076233,21.24794700420822,13.476923076923075,24.77777777777778,15.425030513974733,22.218522789846638,-15.696639754004302,-22.218522789846638,Good,161.71475747676462,64.3263985360328
32,BESC-351-1,BESC-351,1,15,46.121478,-123.269219,27,10,HSG,0.8892435148716555,0.35339157245632075,0.546531033934674,0.35799999999999993,0.5576323987538939,5.619,0,42.87496880459196,57.84876466184177,0.6400000000000001,11.86,0.315,4.06,0.4,7.48,3.02,38.86,0.4080000000000001,5.669479908361677,56.69479908361677,0.60477,0.3806,0.08661,0.11079,50.783,0.884,0.09652,28.47,2856.43,8.925,31.636,32.135,2091.05,65.895,200.508,5.572,52.205,57.44683257918552,6.557535154845345,Non-coppiced,1010,75.62322361808654,51.834004481868796,9.977312236859976,68.54244238997482,13.193450053448577,5.1951871657754,8.645748401626964,12.867549668874172,18.7,13.895784089121756,18.264107556576594,-10.354799083616768,-18.264107556576594,Good,108.85141185657629,41.19942146657265
